0|33.33|1.73|0.44|0.44|0.44|0.44|20.00|56.83|120.86
1|1.37|1.08|1.43|1.36|1.36|1.77|1.81|10.20|10.66
2|3.91|1.24|1.58|1.55|1.10|1.58|0.75|11.71|5.19
3|47.54|43.15|44.83|73.25|73.15|74.20|71.01|427.13|513.96
4|36.46|34.27|30.47|33.05|31.34|30.02|29.95|225.55|201.13
5|1.14|13.90|14.98|14.78|14.78|14.78|13.92|88.29|102.51
6|19.66|16.21|19.73|20.97|17.58|17.98|16.04|128.17|102.15
7|14.07|27.29|10.81|10.96|12.20|10.36|18.57|104.26|81.67
8|16.42|2.63|75.06|2.91|21.98|40.80|18.25|178.06|161.12
9|18.30|18.20|21.12|18.62|20.32|26.01|25.60|148.19|198.04
10|0.86|0.77|1.45|2.06|2.01|2.01|2.08|11.24|8.44
11|0.44|0.44|0.44|0.44|0.44|0.44|0.44|3.11|3.11
12|7.18|7.18|7.18|7.18|7.75|7.18|7.18|50.85|50.28
13|6.58|2.80|2.78|2.64|1.90|2.27|15.67|34.64|12.76
14|16.82|3.18|2.86|4.50|2.51|2.12|3.92|35.90|56.93
15|23.12|19.35|10.74|3.69|4.18|7.94|3.99|73.02|28.61
16|38.55|32.59|33.54|33.54|33.86|33.86|33.86|239.79|239.47
17|31.72|30.27|32.59|33.52|32.78|33.74|33.81|228.43|246.11
18|79.47|54.09|49.22|55.75|50.82|49.86|61.20|400.41|330.60
19|40.67|20.13|19.29|18.84|18.90|14.35|12.85|145.03|78.75
20|2.64|2.44|1.89|1.93|1.90|1.90|1.89|14.61|13.25
21|0.48|0.48|0.69|0.45|0.45|0.45|0.45|3.44|3.13
22|17.62|12.61|7.23|7.88|7.30|7.16|7.02|66.82|62.18
23|6.43|7.31|5.23|5.37|5.38|5.00|5.38|40.11|42.66
24|23.73|29.27|19.52|19.89|19.05|21.47|21.98|154.91|147.33
25|35.75|4.58|3.86|0.60|2.58|5.59|4.25|57.21|30.41
26|60.06|24.52|8.41|3.90|4.01|5.34|5.50|111.74|25.26
27|11.82|6.80|11.00|11.78|9.89|8.97|3.96|64.23|17.21
28|12.06|11.99|11.62|11.62|11.62|11.62|12.60|83.13|89.10
29|0.62|0.62|35.83|31.89|31.53|26.27|24.13|150.88|84.99
30|52.55|22.04|18.72|24.71|15.24|16.34|24.07|173.68|144.23
31|56.25|24.24|10.74|11.72|14.16|14.54|9.46|141.11|24.69
32|29.81|6.01|0.47|0.47|0.47|0.47|0.47|38.16|32.49
33|258.09|195.93|189.04|189.04|182.24|182.24|182.24|1378.83|1275.70
34|7.60|5.70|4.88|7.31|5.19|7.26|8.90|46.83|40.12
35|10.16|9.78|8.01|7.95|2.98|3.16|3.16|45.19|22.61
36|77.32|54.41|324.70|355.29|355.29|332.63|319.60|1819.24|649.45
37|14.18|4.49|2.10|1.07|0.82|1.56|2.47|26.68|17.42
38|31.13|32.17|28.27|28.38|28.05|33.09|29.15|210.24|201.13
39|45.87|42.29|34.15|28.31|30.88|30.79|29.60|241.89|211.48
40|8.37|7.26|7.76|7.91|7.96|7.79|7.91|54.95|80.28
41|8.44|8.31|6.79|3.88|3.78|3.97|3.39|38.56|16.29
42|280.14|263.81|1728.86|1693.54|2720.01|2691.17|1433.84|10811.38|6564.97
43|27.85|9.53|7.09|15.06|13.81|12.05|16.94|102.33|74.70
44|12.08|8.45|8.20|7.96|8.51|7.63|8.41|61.24|62.98
45|24.08|23.43|21.76|11.02|6.83|7.63|2.83|97.57|5.70
46|9.29|7.74|8.93|8.69|9.35|9.89|17.54|71.43|67.24
47|443.19|369.20|298.83|288.35|334.61|295.91|294.07|2324.17|2098.50
48|41.07|43.72|36.48|29.11|35.47|29.26|35.80|250.91|201.57
49|0.54|0.56|1.25|0.54|0.57|0.56|0.77|4.80|5.04
50|10.48|2.43|2.25|1.20|3.34|4.84|11.31|35.86|15.97
51|30.96|70.57|24.60|18.26|30.55|19.58|24.40|218.93|127.18
52|26.34|5.12|6.46|3.42|3.08|8.95|4.19|57.56|47.59
